Sample,Sample_Name,Source,Label,type,alpha-pinene,beta-pinene,myrcene,alpha-phellandrene,delta-3-carene,ocimene,gamma-terpinene,terpinolene*,linalool,limonene*,fenchol,sabinene hydrate*,camphor,borneol,terpineol,unidentified compound 1,delta-guaiene*,caryophyllene,alpha-humulene,gamma-cadinene*,eudesma*,unidentified compound 2,alpha-guaiene*,gamma-selinene*,gurjunen*,caryophyllene oxide,bergamotene*,farnesene,aromadendrene,gamma-elemene*,guaiol*,gamma-eudesmol*,beta-eudesmol,alpha-bisabolol,THC,CBG,CBC,THCV,CBD,CBGM*,chemical total,monoterpenes,sesquiterpenes,cannabinoids,alpha-pinene norm,beta-pinene norm,myrcene norm,alpha-phellandrene norm,delta-3-carene norm,ocimene norm,gamma-terpinene norm,terpinolene* norm,linalool norm,limonene* norm,fenchol norm,sabinene hydrate* norm,camphor norm,borneol norm,terpineol norm,unidentified compund 1 norm,delta-guaiene* norm,caryophyllene norm,alpha-humulene norm,gamma-cadinene* norm,eudesma* norm,unidentified compound 2 norm,alpha-guaiene* norm,gamma-selinene* norm,gurjunen* norm,caryophyllene oxide norm,bergamotene* norm,farnesene norm,aromadendrene norm,gamma-elemene* norm,guaiol* norm,gamma-eudesmol* norm,beta-eudesmol norm,alpha-bisabolol norm,THC norm,CBG norm,CBC norm,THCV norm,CBD norm,CBGM* norm
98,A32,HempFlax,hi,4,1.383250735,1.320707156,8.44646982,0.122829357,0.287673742,1.046340174,0,2.027874438,0.112473365,1.375886273,0.03412065,0.026246654,0,0,0.957183076,0.38459559,0.596983122,0.239383479,0.094129442,0.029695542,0.118383869,0,0,0.139875811,0,0,0,0,0,0.196231889,0.260854458,0.271610911,0.150653227,0.201693969,146.606342,2.341957341,1.276788815,0.752468643,0.622964468,0,171.4256681,17.14105544,2.684091308,151.6005213,0.080698108,0.077049349,0.492762529,0.007165799,0.016782732,0.061042926,0,0.118305109,0.006561636,0.080268469,0.00199058,0.001531216,0,0,0.055841548,0.143287074,0.222415355,0.089186042,0.035069389,0.011063537,0.044105753,0,0,0.052112911,0,0,0,0,0,0.073109245,0.097185389,0.101192873,0.056128205,0.075144228,0.967056978,0.015448214,0.008422061,0.004963496,0.00410925,0
99,A33,HempFlax,hi,4,1.274522635,1.298528504,7.989665043,0.109107567,0.284712049,1.056586584,0.077737647,1.583758851,0.106466828,1.607007208,0.087702568,0.074498871,0,0,1.005694891,0.413292843,0.596503618,0.199835599,0.08761321,0,0.109424246,0,0,0.109465254,0,0,0,0,0,0.136831567,0.199753584,0.205349869,0.117695651,0.199876606,142.8537716,2.137342597,1.233378202,0.762071706,0.599447149,0,166.5176425,16.55598925,2.375642048,147.5860112,0.076982572,0.078432553,0.482584575,0.006590217,0.017196922,0.063818994,0.00469544,0.09566078,0.006430714,0.097065007,0.005297332,0.004499814,0,0,0.06074508,0.173971009,0.251091539,0.084118564,0.036879803,0,0.046060915,0,0,0.046078177,0,0,0,0,0,0.057597721,0.084084041,0.086439735,0.049542671,0.084135826,0.967935717,0.014482013,0.008357013,0.005163577,0.00406168,0
100,A34,HempFlax,hi,4,1.299341729,1.312828867,8.611212589,0.099820332,0.289726212,1.030248608,0.052135398,1.281617439,0.124360911,1.644674508,0.100130604,0.095030508,0,0,1.137913005,0.406790687,0.575520563,0.236465163,0.0918595,0.030167733,0.119524059,0,0.03104534,0.125248449,0,0,0,0,0,0.155416182,0.247435247,0.236305598,0.144685445,0.205738953,139.8605083,2.832121265,1.253396319,0.728379135,0.566977155,0.088098265,165.0147241,17.07904071,2.606202918,145.3294804,0.076078145,0.076867834,0.504197673,0.00584461,0.016963846,0.060322393,0.003052595,0.075040364,0.007281493,0.096297827,0.005862777,0.00556416,0,0,0.066626283,0.156085577,0.220827227,0.090731677,0.035246488,0.011575358,0.045861379,0,0.011912096,0.048057827,0,0,0,0,0,0.059633186,0.094940899,0.090670452,0.055515802,0.078942031,0.96236846,0.01948759,0.008624515,0.005011916,0.003901322,0.000606197
101,A35,HempFlax,hi,4,1.219455633,1.169334599,8.198619777,0.100304394,0.26395893,1.06110105,0,1.267120591,0.113505803,1.243243099,0.065979345,0,0,0,0.968725812,0.3855364,0.583695314,0.219914086,0.081455465,0,0.089603861,0,0.035340579,0.089610983,0,0,0,0,0,0.114027679,0.19274327,0.187327626,0.11673194,0.165643682,134.3752467,2.292022726,1.18556506,0.725090493,0.58417998,0.09623135,157.1913162,15.67134903,2.261630886,139.2583363,0.077814337,0.074616078,0.523159797,0.006400495,0.016843408,0.067709618,0,0.080855872,0.007242887,0.079332232,0.004210189,0,0,0,0.061815088,0.170468312,0.25808602,0.097236948,0.036016251,0,0.039619136,0,0.015626148,0.039622285,0,0,0,0,0,0.050418342,0.085223133,0.082828559,0.051614055,0.073240812,0.964935028,0.016458783,0.008513423,0.005206801,0.004194937,0.000691028
102,A36,HempFlax,hi,4,2.552651095,1.304600303,11.90242719,0,0,0.283784471,0,0,0.164804746,1.315351381,0.124248914,0.09992605,0,0,0.648361554,0.263912834,0.591737338,0.21387836,0.088846867,0.055563475,0.080553366,0,0.061119823,0.08605502,0,0,0,0.030710318,0,0.202847705,0.200001164,0.197209317,0.116655951,0.13058784,142.691833,0.973788933,1.357213565,0.629340528,0.685778333,0.882635663,167.9364251,18.39615571,2.319679378,147.22059,0.138760029,0.070917007,0.647006221,0,0,0.015426292,0,0,0.008958651,0.071501427,0.006754069,0.005431898,0,0,0.035244405,0.113771255,0.255094451,0.09220169,0.038301357,0.023953084,0.034726077,0,0.026348393,0.037097808,0,0,0,0.013239036,0,0.08744644,0.086219314,0.085015765,0.050289688,0.056295642,0.96923829,0.006614489,0.009218911,0.004274813,0.004658169,0.005995328
103,A38,HempFlax,hi,4,1.202599533,1.240108612,10.08035309,0,0.287630801,1.513871222,0,1.607163758,0.144006053,1.911331883,0.114589106,0.085299261,0,0,0.509098186,0.378485323,0.595046936,0.284940699,0.101475581,0.098570468,0.10682825,0,0.087865128,0.200046049,0,0,0,0.098831928,0,0.36448268,0.605948371,0.553692659,0.337327141,0.112769206,127.4952164,6.893209557,1.118206359,0.850283983,0.559268654,0.750098077,160.288645,18.69605151,3.926310419,137.6662831,0.064323717,0.066329974,0.539170161,0,0.015384575,0.080972778,0,0.085962737,0.007702485,0.102231847,0.006129054,0.004562421,0,0,0.027230252,0.096397198,0.151553716,0.072572127,0.025845022,0.025105113,0.027208305,0,0.022378549,0.050950136,0,0,0,0.025171705,0,0.092830836,0.154330225,0.141021111,0.085914537,0.028721419,0.926117954,0.05007188,0.008122587,0.006176414,0.004062495,0.005448669
104,A40,HempFlax,hi,4,7.994990891,3.20628694,5.543818498,0,0,0.393297021,0,0,0.252180108,2.415879118,0.188673284,0.140871089,0,0.034239745,0.342860999,0.218794696,0.560607679,0.72947699,0.218642991,0,0.16947613,0,0.071091841,0.032508209,0,0,0,0,0.276088608,0.13114534,0,0.081978479,0,0.229731902,97.84231731,2.712986416,1.814019057,5.676830007,0.439708717,0.117994495,131.8364966,20.51309769,2.719542867,108.603856,0.389750539,0.156304376,0.2702575,0,0,0.019172971,0,0,0.012293614,0.117772516,0.009197698,0.006867373,0,0.001669165,0.016714248,0.080452748,0.206140409,0.26823515,0.080396964,0,0.062317874,0,0.0261411,0.011953556,0,0,0,0,0.101520227,0.048223303,0,0.030144213,0,0.084474455,0.90091016,0.024980572,0.016703081,0.05227098,0.004048739,0.001086467
105,A41,HempFlax,hi,4,0.384802012,0.09506662,10.64724959,0,0,1.953030566,0,0,0.121243784,0.160725947,0,0,0.084337896,0,0.827663455,0.230454083,0.580218871,0.225002883,0.032479867,0.073193367,0.081332278,0,0.084029461,0.097600628,0,0,0,0.151800044,0.029773212,0.086745589,0,0,0,0,105.685299,7.443841648,0.929962032,0.562742474,0.36033155,0.109812475,131.0387393,14.27411987,1.672630281,115.0919892,0.02695802,0.006660069,0.745912861,0,0,0.136823187,0,0,0.008493959,0.011259955,0,0,0.005908448,0,0.057983502,0.137779452,0.346890091,0.134520393,0.019418438,0.043759441,0.048625377,0,0.050237917,0.058351585,0,0,0,0.090755289,0.017800235,0.051861783,0,0,0,0,0.918268072,0.064677322,0.008080163,0.004889502,0.003130813,0.000954128
106,A42,HempFlax,hi,4,1.036301178,0.596559965,18.38860812,0,0,0.567890877,0,0.050881096,0.294349819,1.029691991,0.028821195,0,0.091433865,0,1.071917945,0.230424547,0.575357342,1.024488103,0.357781534,0.175395981,0.233119455,0,0.344619895,0.196016544,0,0,0,0.524466991,0,0.580434258,0.418043467,0.454833477,0.240421928,0.321460874,190.3857033,2.985104764,2.051543058,1.087414884,0.768217164,0.109003391,226.220307,23.15645605,5.676864394,197.3869865,0.044752149,0.025762144,0.794102866,0,0,0.024524084,0,0.002197275,0.01271135,0.044466735,0.001244629,0,0.003948526,0,0.046290242,0.040590109,0.101351257,0.18046725,0.063024499,0.03089663,0.041064827,0,0.060706029,0.034529016,0,0,0,0.092386739,0,0.102245574,0.073639854,0.080120546,0.042351184,0.056626485,0.964530168,0.015123108,0.010393507,0.005509051,0.003891934,0.000552232
107,A43,HempFlax,hi,4,1.286461221,1.278558406,10.36800214,0.175808835,0.303627054,1.704506273,0.133183951,2.506739598,0.149168282,1.829655735,0.109221562,0.087899715,0,0,0.527482936,0.361655711,0.665880378,0.290422547,0.098643929,0.167122473,0.178102257,0,0.087673819,0.309598474,0,0,0.068507565,0.098643929,0,0.616539066,0.687762556,0.632970047,0.331509673,0.136976435,130.3216711,5.909676621,1.272895859,0.89136353,0.530678121,0.832236029,164.9508458,20.46031571,4.732008858,139.7585213,0.062875922,0.062489671,0.506737153,0.008592675,0.014839803,0.083307917,0.006509379,0.122517151,0.007290615,0.089424609,0.005338215,0.004296107,0,0,0.025780782,0.076427522,0.140718329,0.06137405,0.0208461,0.035317447,0.037637769,0,0.018527822,0.065426436,0,0,0.01447748,0.0208461,0,0.13029119,0.145342618,0.133763496,0.070056858,0.028946783,0.932477461,0.042284911,0.009107823,0.006377883,0.003797107,0.005954814
