a_pinene,b_pinene,myrcene,a_phella,d_carene,ocimene,g_terpinene,terpinolene,linalool,b_phella_limonene,b_fenchol,c_sabinene,camphor,borneol,a_terpineol,c_bergam,d_guaiene,BCP,a_humulene,g_cadinene,eudesma,tr_BCP,a_guaiene,g_selinene,a_gurjunen,BCP_oxide,t_bergam,tb_farnesene,aromadendrene,g_elemene,guaiol,g_eudesmol,b_eudesmol,a_bisabolol,thc_total,CBG,CBC,THCV,CBD,CBGM
1,1,1,1,1,1,1,1,0.0142810836269689,1,1,1,1,1,1,1,1,1.00236843786464e-150,0,1.3339836331442e-14,4.73572637008375e-21,4.61194817003459e-14,8.22869756766746e-14,1.02630857614766e-07,0.012844524797875,1,1,0.00521192158444454,1,0.00364940924242984,1,1,1,1,8.24328922510799e-11,3.08504629119333e-07,0.705124280962067,1,1,1
0.363909736324313,1,0.00773896623489571,1,1,0.246766508929782,1,1,1.70624698797672e-08,1,0.0453287491644129,1,1,1,1,1,1,2.55581985656394e-11,1.3339836331442e-14,0,2.09052736699836e-97,5.23555164034359e-09,0.184792345371154,0.124023564048989,1,0.00183909253459997,1,1,1,0.0517382330749625,1,1,1,1,1.48576123347797e-13,9.04890642892256e-11,1,1,1,1
1,1,1,1,1,1,1,1,3.30292519402819e-09,1,0.000276186654339983,1,1,1,1,1,1,5.72393207994972e-19,4.73572637008375e-21,2.09052736699836e-97,0,5.04000451945082e-10,1,0.00162374747572356,1,0.165193370654725,1,1,1,0.000196581733563023,1,0.00133425412669214,0.82406129068564,4.97028714963406e-10,1.73547313004067e-16,6.89044218710314e-12,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.719821016284076,1,3.97566198945832e-09,4.61194817003459e-14,5.23555164034359e-09,5.04000451945082e-10,0,1,1,1,1,1,1,1,1,1,1,1,1,0.000210532394829458,0.000112792701871418,1,1,1,1
1,1,1,1,1,1,1,1,1,6.90592123706901e-05,1,1,1,1,1,1,1,1.74496832770269e-15,8.22869756766746e-14,0.184792345371154,1,1,0,0.534083880245484,1,1,1,1.56564087888485e-11,0.122655526435058,3.3723763671784e-05,0.000564810567658355,1,1,1,0.00723656412867115,1,1,1,1,1
1,1,1,0.0136936288082788,1,1,1,0.00150442297483188,1,1,1,1,1,1,1,1,1,2.78755660925452e-11,1.02630857614766e-07,0.124023564048989,0.00162374747572356,1,0.534083880245484,0,1,1,1,1.43050625839318e-08,1,1,0.0563220145552814,1,1,1,1,1,0.410331984620176,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0165286645368874,0.012844524797875,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0.751595206531284,1,1,1,1,1,1,0.00183909253459997,0.165193370654725,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.0177172184502068,3.7332721996186e-11,1,1,1,1,1,1,4.98517651106189e-05,1,0.267840382298602,1,1,0.471579437648638,1,1,0.328850885481047,1,1,1,1,1,1,1,1,0,5.67413659339591e-24,6.18726189993411e-07,0.00194972640977967,1,1,1,1,1,1,1,1,1,1
0.652351714317192,0.0355653584328024,0.0378715853411949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.06494432143579e-07,0.00521192158444454,1,1,1,1.56564087888485e-11,1.43050625839318e-08,1,1,5.67413659339591e-24,0,1,1,2.60836416334436e-05,0.00132079602607976,0.0169691802432505,0.469683855028468,1,1,1,1,1,1
